сечения,A1 - A1,,A2 - A2,,A2d - A2d,,A3 - A3,,A4 - A4,,A5 - A5,,A6 - A6,,A7 - A7,,A8 - A8,,A9 - A9,,
радиус,310,,300,,298,,290,,280,,270,,260,,255,,250,,245,,
x,yk,yc,yk,yc,yk,yc,yk,yc,yk,yc,yk,yc,yk,yc,yk,yc,yk,yc,yk,yc,x
-11.50,-0.78,-0.50,-0.42,-0.09,-0.40,-0.05,-0.19,0.24,-0.08,0.45,-0.12,0.52,-0.26,0.52,NULL,NULL,NULL,NULL,NULL,NULL,-11.50
-11.25,-0.70,-0.36,-0.36,0.04,-0.35,0.08,-0.16,0.36,-0.06,0.57,-0.12,0.65,-0.28,0.65,-0.39,0.64,-0.54,0.6,-0.71,0.53,-11.25
-11.00,-0.62,-0.23,-0.30,0.15,-0.29,0.19,-0.12,0.47,-0.05,0.60,-0.12,0.76,-0.29,0.78,-0.41,0.77,-0.56,0.74,-0.74,0.69,-11.00
-10.75,-0.54,-0.10,-0.24,0.27,-0.24,0.30,-0.08,0.57,-0.03,0.70,-0.11,0.86,-0.3,0.89,-0.42,0.9,-0.58,0.87,-0.77,0.83,-10.75
-10.50,-0.45,0.02,-0.18,0.36,-0.18,0.39,-0.04,0.66,0.00,0.86,-0.10,0.95,-0.3,0.98,-0.43,0.99,-0.6,0.97,-0.79,0.93,-10.50
-10.25,-0.37,0.13,-0.12,0.46,-0.12,0.49,0.00,0.74,0.03,0.94,-0.08,1.03,-0.29,1.06,-0.43,1.07,-0.6,1.06,-0.8,1.02,-10.25
-10.00,-0.29,0.24,-0.06,0.56,-0.06,0.58,0.05,0.83,0.06,1.02,-0.06,1.11,-0.28,1.15,-0.43,1.16,-0.6,1.15,-0.8,1.12,-10.00
-9.75,-0.20,0.35,0.01,0.65,0.00,0.68,0.09,0.92,0.08,1.10,-0.05,1.19,-0.27,1.23,-0.42,1.25,-0.6,1.25,-0.8,1.22,-9.75
-9.50,-0.12,0.46,0.07,0.75,0.06,0.77,0.14,1.00,0.11,1.18,-0.03,1.27,-0.26,1.31,-0.42,1.34,-0.59,1.34,-0.8,1.32,-9.50
-9.25,-0.04,0.56,0.13,0.83,0.12,0.85,0.18,1.07,0.14,1.24,-0.01,1.33,-0.25,1.38,-0.41,1.41,-0.59,1.41,-0.8,1.4,-9.25
-9.00,0.04,0.66,0.19,0.91,0.17,0.92,0.22,1.14,0.17,1.30,0.01,1.39,-0.24,1.44,-0.4,1.47,-0.59,1.47,-0.8,1.47,-9.00
-8.75,0.12,0.76,0.25,0.99,0.23,1.00,0.27,1.21,0.20,1.37,0.03,1.45,-0.23,1.5,-0.39,1.53,-0.58,1.54,-0.8,1.53,-8.75
-8.50,0.20,0.85,0.31,1.07,0.28,1.08,0.31,1.28,0.23,1.43,0.05,1.51,-0.22,1.56,-0.39,1.59,-0.58,1.6,-0.79,1.6,-8.50
-8.25,0.28,0.95,0.37,1.15,0.34,1.16,0.35,1.35,0.26,1.49,0.07,1.57,-0.21,1.62,-0.38,1.66,-0.57,1.67,-0.79,1.67,-8.25
-8.00,0.35,1.03,0.43,1.22,0.40,1.22,0.39,1.41,0.29,1.54,0.09,1.62,-0.19,1.67,-0.37,1.71,-0.56,1.72,-0.78,1.73,-8.00
-6.00,0.90,1.67,0.84,1.73,0.78,1.72,0.68,1.83,0.48,1.89,0.21,1.93,-0.13,1.98,-0.33,2.02,-0.55,2.05,-0.78,2.07,-6.00
-4.00,1.38,2.17,1.19,2.12,1.11,2.09,0.92,2.12,0.62,2.11,0.28,2.11,-0.11,2.13,-0.33,2.16,-0.56,2.19,-0.81,2.21,-4.00
-2.00,1.78,2.58,1.47,2.42,1.37,2.36,1.09,2.31,0.71,2.23,0.3,2.16,-0.14,2.14,-0.39,2.16,-0.64,2.17,-0.9,2.19,-2.00
0.00,2.11,2.89,1.69,2.61,1.51,2.53,1.21,2.41,0.75,2.24,0.27,2.11,-0.23,2.03,-0.5,2.02,-0.77,2.02,-1.04,2.02,0.00
2.00,2.38,3.12,1.86,2.73,1.72,2.63,1.29,2.43,0.74,2.16,0.21,1.95,-0.35,1.8,-0.64,1.75,-0.93,1.72,-1.22,1.7,2.00
4.00,2.60,3.27,1.98,2.77,1.82,2.65,1.33,2.36,0.70,1.99,0.1,1.69,-0.51,1.46,-0.82,1.37,-1.13,1.29,-1.44,1.24,4.00
6.00,2.77,3.36,2.06,2.75,1.88,2.61,1.33,2.23,0.63,1.76,-0.04,1.35,-0.7,1.01,-1.04,0.87,-1.36,0.75,-1.69,0.65,6.00
8.00,2.90,3.39,2.09,2.67,1.90,2.51,1.29,2.03,0.51,1.44,-0.21,0.93,-0.93,0.48,-1.29,0.28,-1.64,0.1,-1.98,-0.06,8.00
10.00,2.98,3.37,2.09,2.54,1.89,2.35,1.21,1.79,0.37,1.08,-0.42,0.44,-1.2,0.13,-1.58,0.4,-1.95,-0.64,-2.31,-0.87,10.00
12.00,3.03,3.30,2.05,2.36,1.83,2.15,1.10,1.49,0.18,0.65,-0.67,-0.11,-1.5,0.82,-1.91,1.16,-2.3,-1.48,-2.68,-1.78,12.00